type,layer,head,unit_label,baseline_mean_margin_corrupt,clean_mean_margin,patched_mean_margin,total_clean_corrupt_gap,patch_effect,abs_patch_effect
mlp,0,-1,MLP_L0,0.0580491125583648,-0.0580491051077842,-0.0583753250539302,-0.1160982176661491,-0.1164244376122951,0.1164244376122951
attn,23,5,L23H5,0.0580491125583648,-0.0580491051077842,0.0833529457449913,-0.1160982176661491,0.0253038331866264,0.0253038331866264
mlp,21,-1,MLP_L21,0.0580491125583648,-0.0580491051077842,0.0329948142170906,-0.1160982176661491,-0.0250542983412742,0.0250542983412742
mlp,1,-1,MLP_L1,0.0580491125583648,-0.0580491051077842,0.0379906967282295,-0.1160982176661491,-0.0200584158301353,0.0200584158301353
mlp,23,-1,MLP_L23,0.0580491125583648,-0.0580491051077842,0.0396925546228885,-0.1160982176661491,-0.0183565579354763,0.0183565579354763
mlp,15,-1,MLP_L15,0.0580491125583648,-0.0580491051077842,0.0403082706034183,-0.1160982176661491,-0.0177408419549465,0.0177408419549465
mlp,14,-1,MLP_L14,0.0580491125583648,-0.0580491051077842,0.040806844830513,-0.1160982176661491,-0.0172422677278518,0.0172422677278518
mlp,9,-1,MLP_L9,0.0580491125583648,-0.0580491051077842,0.0410320088267326,-0.1160982176661491,-0.0170171037316322,0.0170171037316322
mlp,17,-1,MLP_L17,0.0580491125583648,-0.0580491051077842,0.0430968590080738,-0.1160982176661491,-0.014952253550291,0.014952253550291
attn,15,4,L15H4,0.0580491125583648,-0.0580491051077842,0.0431766249239444,-0.1160982176661491,-0.0148724876344203,0.0148724876344203
mlp,2,-1,MLP_L2,0.0580491125583648,-0.0580491051077842,0.0458139404654502,-0.1160982176661491,-0.0122351720929145,0.0122351720929145
mlp,19,-1,MLP_L19,0.0580491125583648,-0.0580491051077842,0.0458398908376693,-0.1160982176661491,-0.0122092217206954,0.0122092217206954
mlp,20,-1,MLP_L20,0.0580491125583648,-0.0580491051077842,0.0478309541940689,-0.1160982176661491,-0.0102181583642959,0.0102181583642959
attn,22,5,L22H5,0.0580491125583648,-0.0580491051077842,0.0479239411652088,-0.1160982176661491,-0.010125171393156,0.010125171393156
attn,23,0,L23H0,0.0580491125583648,-0.0580491051077842,0.0482531934976577,-0.1160982176661491,-0.009795919060707,0.009795919060707
mlp,12,-1,MLP_L12,0.0580491125583648,-0.0580491051077842,0.04902009293437,-0.1160982176661491,-0.0090290196239948,0.0090290196239948
attn,17,4,L17H4,0.0580491125583648,-0.0580491051077842,0.0491562038660049,-0.1160982176661491,-0.0088929086923599,0.0088929086923599
attn,20,14,L20H14,0.0580491125583648,-0.0580491051077842,0.0667794272303581,-0.1160982176661491,0.0087303146719932,0.0087303146719932
mlp,5,-1,MLP_L5,0.0580491125583648,-0.0580491051077842,0.0665178969502449,-0.1160982176661491,0.00846878439188,0.00846878439188
mlp,10,-1,MLP_L10,0.0580491125583648,-0.0580491051077842,0.0509103015065193,-0.1160982176661491,-0.0071388110518455,0.0071388110518455
mlp,18,-1,MLP_L18,0.0580491125583648,-0.0580491051077842,0.0511213205754756,-0.1160982176661491,-0.0069277919828891,0.0069277919828891
attn,17,6,L17H6,0.0580491125583648,-0.0580491051077842,0.064890019595623,-0.1160982176661491,0.0068409070372581,0.0068409070372581
attn,8,8,L8H8,0.0580491125583648,-0.0580491051077842,0.0645827576518058,-0.1160982176661491,0.006533645093441,0.006533645093441
attn,15,14,L15H14,0.0580491125583648,-0.0580491051077842,0.0515477731823921,-0.1160982176661491,-0.0065013393759727,0.0065013393759727
attn,23,15,L23H15,0.0580491125583648,-0.0580491051077842,0.0645275339484214,-0.1160982176661491,0.0064784213900566,0.0064784213900566
attn,18,10,L18H10,0.0580491125583648,-0.0580491051077842,0.0640982985496521,-0.1160982176661491,0.0060491859912872,0.0060491859912872
mlp,16,-1,MLP_L16,0.0580491125583648,-0.0580491051077842,0.0520550273358821,-0.1160982176661491,-0.0059940852224826,0.0059940852224826
mlp,11,-1,MLP_L11,0.0580491125583648,-0.0580491051077842,0.0521667413413524,-0.1160982176661491,-0.0058823712170124,0.0058823712170124
attn,23,14,L23H14,0.0580491125583648,-0.0580491051077842,0.0522279441356658,-0.1160982176661491,-0.0058211684226989,0.0058211684226989
attn,1,14,L1H14,0.0580491125583648,-0.0580491051077842,0.0523272044956684,-0.1160982176661491,-0.0057219080626964,0.0057219080626964
attn,2,14,L2H14,0.0580491125583648,-0.0580491051077842,0.052471250295639,-0.1160982176661491,-0.0055778622627258,0.0055778622627258
attn,8,4,L8H4,0.0580491125583648,-0.0580491051077842,0.0528701767325401,-0.1160982176661491,-0.0051789358258247,0.0051789358258247
