family,model,category,layer,head,delta_ioi,delta_anti,strength,hf_name,mean_ioi_influence,mean_anti_influence,ioi_influences,anti_influences
gpt2,gpt2-large,shared,33,11,-0.0643132925033569,-0.0701141357421875,0.1344274282455444,gpt2-large,0.005677700042724609,-0.0014858245849609375,"[0.008502960205078125, 0.0028524398803710938]","[-0.0033597946166992188, 0.00038814544677734375]"
gpt2,gpt2-large,shared,34,2,-0.0881327390670776,-0.1098055839538574,0.197938323020935,gpt2-large,0.0037288665771484375,0.003477811813354492,"[0.0016107559204101562, 0.005846977233886719]","[-0.0015592575073242188, 0.008514881134033203]"
gpt2,gpt2-large,shared,34,11,-0.0558221340179443,-0.0733067989349365,0.1291289329528808,gpt2-large,-0.004456043243408203,0.0049762725830078125,"[-0.0038766860961914062, -0.005035400390625]","[0.007979393005371094, 0.0019731521606445312]"
pythia,pythia-160m,anti_only,3,5,0.0,-0.5574000477790833,0.5574000477790833,EleutherAI/pythia-160m-deduped,-0.0037822723388671875,-0.03396129608154297,"[-0.016254425048828125, 0.00868988037109375]","[-0.05723381042480469, -0.01068878173828125]"
pythia,pythia-160m,anti_only,4,0,0.0,-0.5259249806404114,0.5259249806404114,EleutherAI/pythia-160m-deduped,0.002063751220703125,0.07369613647460938,"[-0.001415252685546875, 0.005542755126953125]","[-0.010944366455078125, 0.15833663940429688]"
pythia,pythia-160m,anti_only,5,1,0.0,-0.6885338425636292,0.6885338425636292,EleutherAI/pythia-160m-deduped,0.0007801055908203125,-0.058640480041503906,"[0.0015869140625, -2.6702880859375e-05]","[-0.12342262268066406, 0.00614166259765625]"
pythia,pythia-160m,ioi_only,0,0,-1.4348183870315552,0.0,1.4348183870315552,EleutherAI/pythia-160m-deduped,0.04593086242675781,-2.4149999618530273,"[-0.007396697998046875, 0.0992584228515625]","[-4.721576690673828, -0.10842323303222656]"
pythia,pythia-160m,ioi_only,1,9,-1.430188775062561,0.0,1.430188775062561,EleutherAI/pythia-160m-deduped,0.00543212890625,-0.1841754913330078,"[-0.00095367431640625, 0.01181793212890625]","[-0.28838348388671875, -0.07996749877929688]"
pythia,pythia-160m,ioi_only,3,0,-1.8286436796188352,0.0,1.8286436796188352,EleutherAI/pythia-160m-deduped,0.01788330078125,0.17846393585205078,"[0.008056640625, 0.0277099609375]","[0.18546104431152344, 0.17146682739257812]"
pythia,pythia-160m,shared,2,4,-0.6334210634231567,-0.0895041227340698,0.7229251861572266,EleutherAI/pythia-160m-deduped,0.00305938720703125,0.13625621795654297,"[0.01154327392578125, -0.00542449951171875]","[0.2458019256591797, 0.02671051025390625]"
pythia,pythia-160m,shared,3,4,-0.6635006666183472,-0.1482321619987487,0.8117328286170958,EleutherAI/pythia-160m-deduped,0.004596710205078125,-0.11856842041015625,"[0.0073394775390625, 0.00185394287109375]","[-0.23328208923339844, -0.0038547515869140625]"
pythia,pythia-160m,shared,4,6,-0.8135761022567749,-0.2139435410499572,1.0275196433067322,EleutherAI/pythia-160m-deduped,0.0001163482666015625,1.1372146606445312,"[-0.00023651123046875, 0.000469207763671875]","[0.9208126068115234, 1.353616714477539]"
pythia,pythia-70m,anti_only,2,5,0.0,-0.4707749485969543,0.4707749485969543,EleutherAI/pythia-70m-deduped,0.05066490173339844,0.8287467956542969,"[0.05950355529785156, 0.04182624816894531]","[1.0217323303222656, 0.6357612609863281]"
pythia,pythia-70m,anti_only,3,5,-0.0085541605949401,-0.5574000477790833,0.5659542083740233,EleutherAI/pythia-70m-deduped,0.28864002227783203,0.7629361152648926,"[0.41100120544433594, 0.16627883911132812]","[1.4735898971557617, 0.05228233337402344]"
pythia,pythia-70m,anti_only,4,1,-0.0192031264305114,-0.4760230183601379,0.4952261447906493,EleutherAI/pythia-70m-deduped,1.239776611328125e-05,1.049041748046875e-05,"[7.62939453125e-06, 1.71661376953125e-05]","[2.09808349609375e-05, 0.0]"
pythia,pythia-70m,ioi_only,0,7,-0.4192270562052727,0.0,0.4192270562052727,EleutherAI/pythia-70m-deduped,0.006278038024902344,0.30541229248046875,"[0.008924484252929688, 0.003631591796875]","[0.3900108337402344, 0.22081375122070312]"
pythia,pythia-70m,ioi_only,1,3,-0.284780777990818,0.0,0.284780777990818,EleutherAI/pythia-70m-deduped,-0.027052879333496094,-0.10494709014892578,"[-0.035602569580078125, -0.018503189086914062]","[-0.5341091156005859, 0.3242149353027344]"
pythia,pythia-70m,ioi_only,2,7,-0.6693404316902161,0.0,0.6693404316902161,EleutherAI/pythia-70m-deduped,-0.010053634643554688,0.6004199981689453,"[-0.0464324951171875, 0.026325225830078125]","[0.8546161651611328, 0.3462238311767578]"
pythia,pythia-70m,shared,0,4,-0.1390579342842102,-0.3513792157173157,0.4904371500015259,EleutherAI/pythia-70m-deduped,-0.011350631713867188,-0.14148569107055664,"[-0.0067501068115234375, -0.015951156616210938]","[-0.3198976516723633, 0.03692626953125]"
pythia,pythia-70m,shared,4,0,-0.079230785369873,-0.5259249806404114,0.6051557660102844,EleutherAI/pythia-70m-deduped,0.0048694610595703125,3.147125244140625e-05,"[0.0066280364990234375, 0.0031108856201171875]","[6.29425048828125e-05, 0.0]"
pythia,pythia-70m,shared,5,1,0.0604160130023956,-0.6885338425636292,0.7489498555660248,EleutherAI/pythia-70m-deduped,0.13910293579101562,0.0,"[0.1676044464111328, 0.11060142517089844]","[0.0, 0.0]"
