family,model,category,layer,head,delta_ioi,delta_anti,strength
gpt2,gpt2-large,shared,33,11,-0.0643132925033569,-0.0701141357421875,0.1344274282455444
gpt2,gpt2-large,shared,34,2,-0.0881327390670776,-0.1098055839538574,0.197938323020935
gpt2,gpt2-large,shared,34,11,-0.0558221340179443,-0.0733067989349365,0.1291289329528808
gpt2,gpt2-large,weak,32,11,-0.0262080430984497,-0.0257318019866943,0.051939845085144
gpt2,gpt2-large,weak,35,2,-0.015704870223999,-0.029435396194458,0.045140266418457
gpt2,gpt2-large,weak,35,17,-0.0420945882797241,-0.0443135499954223,0.0864081382751464
pythia,pythia-160m,anti_only,3,5,0.0,-0.5574000477790833,0.5574000477790833
pythia,pythia-160m,anti_only,4,0,0.0,-0.5259249806404114,0.5259249806404114
pythia,pythia-160m,anti_only,5,1,0.0,-0.6885338425636292,0.6885338425636292
pythia,pythia-160m,ioi_only,0,0,-1.4348183870315552,0.0,1.4348183870315552
pythia,pythia-160m,ioi_only,1,9,-1.430188775062561,0.0,1.430188775062561
pythia,pythia-160m,ioi_only,3,0,-1.8286436796188352,0.0,1.8286436796188352
pythia,pythia-160m,shared,2,4,-0.6334210634231567,-0.0895041227340698,0.7229251861572266
pythia,pythia-160m,shared,3,4,-0.6635006666183472,-0.1482321619987487,0.8117328286170958
pythia,pythia-160m,shared,4,6,-0.8135761022567749,-0.2139435410499572,1.0275196433067322
pythia,pythia-160m,weak,10,5,0.0,-0.0485670566558837,0.0485670566558837
pythia,pythia-160m,weak,10,7,0.0,-0.0493994355201721,0.0493994355201721
pythia,pythia-160m,weak,11,3,0.0,-0.0461631417274475,0.0461631417274475
pythia,pythia-70m,anti_only,2,5,0.0,-0.4707749485969543,0.4707749485969543
pythia,pythia-70m,anti_only,3,5,-0.0085541605949401,-0.5574000477790833,0.5659542083740233
pythia,pythia-70m,anti_only,4,1,-0.0192031264305114,-0.4760230183601379,0.4952261447906493
pythia,pythia-70m,ioi_only,0,7,-0.4192270562052727,0.0,0.4192270562052727
pythia,pythia-70m,ioi_only,1,3,-0.284780777990818,0.0,0.284780777990818
pythia,pythia-70m,ioi_only,2,7,-0.6693404316902161,0.0,0.6693404316902161
pythia,pythia-70m,shared,0,4,-0.1390579342842102,-0.3513792157173157,0.4904371500015259
pythia,pythia-70m,shared,4,0,-0.079230785369873,-0.5259249806404114,0.6051557660102844
pythia,pythia-70m,shared,5,1,0.0604160130023956,-0.6885338425636292,0.7489498555660248
pythia,pythia-70m,weak,10,5,0.0,-0.0485670566558837,0.0485670566558837
pythia,pythia-70m,weak,10,7,0.0,-0.0493994355201721,0.0493994355201721
pythia,pythia-70m,weak,11,3,0.0,-0.0461631417274475,0.0461631417274475
