layer,head,base_family,base_model,base_category,base_delta_ioi,base_abs_delta_ioi,target_family,target_model,target_category,target_delta_ioi,target_abs_delta_ioi,divergence_type
0,3,pythia,pythia-410m,ioi_only,-0.2027997970581054,0.2027997970581054,gpt2,gpt2-medium,,,,missing_in_target
0,11,pythia,pythia-410m,ioi_only,-0.4311950206756592,0.4311950206756592,gpt2,gpt2-medium,,,,missing_in_target
1,13,pythia,pythia-410m,ioi_only,-0.1120288372039794,0.1120288372039794,gpt2,gpt2-medium,weak,-0.0082999467849731,0.0082999467849731,lost
2,1,pythia,pythia-410m,ioi_only,-0.1022953987121582,0.1022953987121582,gpt2,gpt2-medium,,,,missing_in_target
2,8,pythia,pythia-410m,ioi_only,-0.1057062149047851,0.1057062149047851,gpt2,gpt2-medium,weak,-0.0231882333755493,0.0231882333755493,lost
3,4,pythia,pythia-410m,shared,-0.0980308055877685,0.0980308055877685,gpt2,gpt2-medium,,,,missing_in_target
4,2,pythia,pythia-410m,ioi_only,-0.3276699781417846,0.3276699781417846,gpt2,gpt2-medium,,,,missing_in_target
4,6,pythia,pythia-410m,shared,-0.2292877435684204,0.2292877435684204,gpt2,gpt2-medium,,,,missing_in_target
4,11,pythia,pythia-410m,ioi_only,-0.115308403968811,0.115308403968811,gpt2,gpt2-medium,,,,missing_in_target
4,13,pythia,pythia-410m,ioi_only,-0.2598797082901001,0.2598797082901001,gpt2,gpt2-medium,,,,missing_in_target
5,2,pythia,pythia-410m,ioi_only,-0.6198322772979736,0.6198322772979736,gpt2,gpt2-medium,,,,missing_in_target
5,4,pythia,pythia-410m,ioi_only,-0.1036394834518432,0.1036394834518432,gpt2,gpt2-medium,,,,missing_in_target
5,13,pythia,pythia-410m,ioi_only,-0.338462233543396,0.338462233543396,gpt2,gpt2-medium,weak,-0.0093109607696533,0.0093109607696533,lost
6,12,pythia,pythia-410m,ioi_only,-0.1062111854553222,0.1062111854553222,gpt2,gpt2-medium,,,,missing_in_target
7,5,pythia,pythia-410m,shared,-0.1285246610641479,0.1285246610641479,gpt2,gpt2-medium,,,,missing_in_target
8,1,pythia,pythia-410m,shared,-0.140700101852417,0.140700101852417,gpt2,gpt2-medium,,,,missing_in_target
8,2,pythia,pythia-410m,ioi_only,-0.1739534139633178,0.1739534139633178,gpt2,gpt2-medium,,,,missing_in_target
8,5,pythia,pythia-410m,shared,-0.1081666946411132,0.1081666946411132,gpt2,gpt2-medium,,,,missing_in_target
8,6,pythia,pythia-410m,ioi_only,-0.1565133333206176,0.1565133333206176,gpt2,gpt2-medium,weak,0.0,0.0,lost
9,1,pythia,pythia-410m,ioi_only,-0.1827338933944702,0.1827338933944702,gpt2,gpt2-medium,,,,missing_in_target
9,4,pythia,pythia-410m,ioi_only,-0.1249186992645263,0.1249186992645263,gpt2,gpt2-medium,,,,missing_in_target
9,9,pythia,pythia-410m,ioi_only,-0.1242028474807739,0.1242028474807739,gpt2,gpt2-medium,,,,missing_in_target
9,11,pythia,pythia-410m,ioi_only,-0.1499397754669189,0.1499397754669189,gpt2,gpt2-medium,,,,missing_in_target
9,13,pythia,pythia-410m,ioi_only,-0.1065863370895385,0.1065863370895385,gpt2,gpt2-medium,,,,missing_in_target
10,0,pythia,pythia-410m,ioi_only,-0.1701120138168335,0.1701120138168335,gpt2,gpt2-medium,weak,0.0,0.0,lost
10,3,pythia,pythia-410m,shared,-0.1460665464401245,0.1460665464401245,gpt2,gpt2-medium,weak,0.0,0.0,lost
10,7,pythia,pythia-410m,ioi_only,-0.3460824489593506,0.3460824489593506,gpt2,gpt2-medium,weak,-0.0257779359817504,0.0257779359817504,lost
10,12,pythia,pythia-410m,ioi_only,-0.1049743890762329,0.1049743890762329,gpt2,gpt2-medium,,,,missing_in_target
11,0,pythia,pythia-410m,shared,-0.0974875688552856,0.0974875688552856,gpt2,gpt2-medium,,,,missing_in_target
11,3,pythia,pythia-410m,ioi_only,-0.212782621383667,0.212782621383667,gpt2,gpt2-medium,,,,missing_in_target
11,5,pythia,pythia-410m,ioi_only,-0.1508247852325439,0.1508247852325439,gpt2,gpt2-medium,,,,missing_in_target
11,12,pythia,pythia-410m,ioi_only,-0.104777455329895,0.104777455329895,gpt2,gpt2-medium,,,,missing_in_target
11,13,pythia,pythia-410m,ioi_only,-0.1336348056793213,0.1336348056793213,gpt2,gpt2-medium,,,,missing_in_target
12,1,pythia,pythia-410m,shared,-0.2198706865310669,0.2198706865310669,gpt2,gpt2-medium,,,,missing_in_target
12,12,pythia,pythia-410m,ioi_only,-0.3889616727828979,0.3889616727828979,gpt2,gpt2-medium,,,,missing_in_target
13,0,pythia,pythia-410m,ioi_only,-0.1490477323532104,0.1490477323532104,gpt2,gpt2-medium,,,,missing_in_target
14,4,pythia,pythia-410m,ioi_only,-0.149582028388977,0.149582028388977,gpt2,gpt2-medium,,,,missing_in_target
15,2,pythia,pythia-410m,ioi_only,-0.1909528970718383,0.1909528970718383,gpt2,gpt2-medium,,,,missing_in_target
15,11,pythia,pythia-410m,ioi_only,-0.2432583570480346,0.2432583570480346,gpt2,gpt2-medium,weak,-0.010797381401062,0.010797381401062,lost
17,10,pythia,pythia-410m,ioi_only,-0.1397455930709839,0.1397455930709839,gpt2,gpt2-medium,,,,missing_in_target
