model,joint_role,count,frac
gpt-neo-125M,shared,34,0.7391304347826086
gpt-neo-125M,anti_only,6,0.13043478260869565
gpt-neo-125M,ioi_only,6,0.13043478260869565
gpt2,anti_only,148,0.5522388059701493
gpt2,shared,69,0.2574626865671642
gpt2,ioi_only,44,0.16417910447761194
gpt2,opposite_sign,7,0.026119402985074626
gpt2-large,shared,48,0.42857142857142855
gpt2-large,anti_only,32,0.2857142857142857
gpt2-large,ioi_only,32,0.2857142857142857
gpt2-medium,anti_only,384,0.7619047619047619
gpt2-medium,shared,72,0.14285714285714285
gpt2-medium,ioi_only,40,0.07936507936507936
gpt2-medium,opposite_sign,8,0.015873015873015872
opt-125m,shared,22,0.3793103448275862
opt-125m,anti_only,18,0.3103448275862069
opt-125m,ioi_only,18,0.3103448275862069
pythia-160m,anti_only,87,0.47802197802197804
pythia-160m,ioi_only,82,0.45054945054945056
pythia-160m,shared,13,0.07142857142857142
pythia-1b,anti_only,55,0.3548387096774194
pythia-1b,ioi_only,55,0.3548387096774194
pythia-1b,shared,45,0.2903225806451613
pythia-410m,anti_only,76,0.4318181818181818
pythia-410m,ioi_only,76,0.4318181818181818
pythia-410m,shared,24,0.13636363636363635
pythia-70m,anti_only,58,0.3790849673202614
pythia-70m,ioi_only,53,0.3464052287581699
pythia-70m,shared,28,0.1830065359477124
pythia-70m,opposite_sign,14,0.0915032679738562
